"module name","license","repository"
"@babel/helper-string-parser@7.24.8","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.24.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.24.8","MIT","https://github.com/babel/babel"
"@babel/types@7.24.8","MIT","https://github.com/babel/babel"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"agent-base@7.1.1","MIT","https://github.com/TooTallNate/proxy-agents"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.1","MIT","https://github.com/chalk/ansi-styles"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asn1.js@5.4.1","MIT","https://github.com/indutny/asn1.js"
"assert-never@1.3.0","MIT","https://github.com/aikoven/assert-never"
"async@3.2.5","MIT","https://github.com/caolan/async"
"babel-walk@3.0.0-canary-5","MIT","https://github.com/pugjs/babel-walk"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"bcryptjs@2.4.3","MIT","https://github.com/dcodeIO/bcrypt.js"
"bignumber.js@9.0.0","MIT","https://github.com/MikeMcl/bignumber.js"
"bn.js@4.12.0","MIT","https://github.com/indutny/bn.js"
"body-parser@1.20.2","MIT","https://github.com/expressjs/body-parser"
"bootstrap@5.3.3","MIT","https://github.com/twbs/bootstrap"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind@1.0.7","MIT","https://github.com/ljharb/call-bind"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"character-parser@2.2.0","MIT","https://github.com/ForbesLindesay/character-parser"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"constantinople@4.0.1","MIT","https://github.com/ForbesLindesay/constantinople"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-parser@1.4.6","MIT","https://github.com/expressjs/cookie-parser"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.4.1","MIT","https://github.com/jshttp/cookie"
"cookie@0.6.0","MIT","https://github.com/jshttp/cookie"
"core-util-is@1.0.3","MIT","https://github.com/isaacs/core-util-is"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.3.5","MIT","https://github.com/debug-js/debug"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property"
"denque@2.1.0","Apache-2.0","https://github.com/invertase/denque"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"doctypes@1.1.0","MIT","https://github.com/pugjs/doctypes"
"dotenv@16.4.5","BSD-2-Clause","https://github.com/motdotla/dotenv"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth"
"ecdsa-sig-formatter@1.0.11","Apache-2.0","https://github.com/Brightspace/node-ecdsa-sig-formatter"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"ejs@3.1.10","Apache-2.0","https://github.com/mde/ejs"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"es-define-property@1.0.0","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express-async-errors@3.1.1","ISC","https://github.com/davidbanham/express-async-errors"
"express-handlebars@7.1.3","BSD-3-Clause","https://github.com/express-handlebars/express-handlebars"
"express-useragent@1.0.15","MIT","https://github.com/biggora/express-useragent"
"express-validator@7.1.0","MIT","https://github.com/express-validator/express-validator"
"express-ws@5.0.2","BSD-2-Clause","https://github.com/HenningM/express-ws"
"express@4.19.2","MIT","https://github.com/expressjs/express"
"filelist@1.0.4","Apache-2.0","https://github.com/mde/filelist"
"finalhandler@1.2.0","MIT","https://github.com/pillarjs/finalhandler"
"foreground-child@3.2.1","ISC","https://github.com/tapjs/foreground-child"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"generate-function@2.3.1","MIT","https://github.com/mafintosh/generate-function"
"get-intrinsic@1.2.4","MIT","https://github.com/ljharb/get-intrinsic"
"glob@10.4.5","ISC","https://github.com/isaacs/node-glob"
"gopd@1.0.1","MIT","https://github.com/ljharb/gopd"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"handlebars@4.7.8","MIT","https://github.com/handlebars-lang/handlebars.js"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-property-descriptors@1.0.2","MIT","https://github.com/inspect-js/has-property-descriptors"
"has-proto@1.0.3","MIT","https://github.com/inspect-js/has-proto"
